#node	identifier	domain_summary_url	annotation	other_names_and_aliases
SLC25A21	9606.ENSP00000329452	https://smart.embl.de/smart/DDvec.cgi?smart=299:Pfam_Mito_carr(11|104)+Pfam_Mito_carr(107|201)+Pfam_Mito_carr(204|299)+	Mitochondrial 2-oxodicarboxylate carrier; Transports C5-C7 oxodicarboxylates across the inner membranes of mitochondria. Can transport 2-oxoadipate, 2- oxoglutarate, adipate, glutarate, and to a lesser extent, pimelate, 2-oxopimelate, 2-aminoadipate, oxaloacetate, and citrate; Belongs to the mitochondrial carrier (TC 2.A.29) family	89874,A8K0L0,AAI01522.1,AAI13366.1,AJ278148,AK289575,AL079303,AL121775,AL162464,BAF82264.1,BC101521,BC113365,CAC27562.1,CCDS55913,CCDS55913.1,CCDS9663,CCDS9663.1,ENSG00000183032,ENSP00000329452,ENSP00000441007,ENSP00000451873,ENSP00000481445,ENST00000331299,ENST00000542574,ENST00000546428,ENST00000555449,ENST00000556444,ENST00000557611,ENST00000622765,G3V4L5,HGNC:14411,HPA000662,Hs.730857,Mitochondrial 2-oxodicarboxylate carrier,NM_001171170,NM_001171170.1,NM_030631,NM_030631.3,NP_001164641,NP_001164641.1,NP_085134,NP_085134.1,NX_Q9BQT8,ODC,ODC1,ODC_HUMAN,OMIM:607571,OTTHUMG00000140250,OTTHUMP00000178876,OTTHUMP00000244282,OTTHUMT00000276732,OTTHUMT00000410141,OTTHUMT00000410142,OTTHUMT00000410143,OTTHUMT00000410144,Q3MJ99,Q9BQT8,SLC25A21,SLC25A21-001,SLC25A21-002,SLC25A21-003,SLC25A21-004,SLC25A21-005,SLC25A21-201,Solute carrier family 25 member 21,Solute carriers,UPI0000130BCE,UPI0001C2BF9C,hsa:89874,solute carrier family 25 member 21,solute carrier family 25, member 21,uc001wtz.2,uc001wtz.3,uc021rsf.1
SLC27A2	9606.ENSP00000267842	https://smart.embl.de/smart/DDvec.cgi?smart=620:TRANS(5|27)+Pfam_AMP-binding(59|488)+Pfam_AMP-binding_C(496|572)+	Very long-chain acyl-CoA synthetase; Acyl-CoA synthetase probably involved in bile acid metabolism. Proposed to activate C27 precursors of bile acids to their CoA thioesters derivatives before side chain cleavage via peroxisomal beta-oxidation occurs. In vitro, activates 3-alpha,7- alpha,12-alpha-trihydroxy-5-beta-cholestanate (THCA), the C27 precursor of cholic acid deriving from the de novo synthesis from cholesterol. Does not utilize C24 bile acids as substrates. In vitro, also activates long- and branched-chain fatty acids and may have additional roles in fatty acid metabolism. May [...] 	11001,6.2.1.-,6.2.1.3,604192,A8K2J7,AAC64973.1,AAH57770.1,ACSVL1,AF096290,AK223145,AK290262,Acyl-CoA synthetase family,BAA23644.1,BAD96865.1,BAF82951.1,BC057770,CCDS10133,CCDS10133.1,CCDS53943,CCDS53943.1,CHEMBL4326,D88308,EAW77385.1,EAW77386.1,EC 6.2.1.-,EC 6.2.1.3,ENSG00000140284,ENSP00000267842,ENSP00000370289,ENSP00000444549,ENST00000267842,ENST00000380902,ENST00000544960,ENST00000559938,FACVL1,FATP2,Fatty acid transport protein 2,Fatty-acid-coenzyme A ligase, very long-chain 1,G3V1R7,HGNC:10996,HPA026089,Hs.11729,HsT17226,Long-chain-fatty-acid--CoA ligase,NM_001159629,NM_001159629.1,NM_003645,NM_003645.3,NP_001153101,NP_001153101.1,NP_003636,NP_003636.2,NX_O14975,O14975,OMIM:603247,OTTHUMG00000131643,OTTHUMP00000162414,OTTHUMP00000248306,OTTHUMP00000248307,OTTHUMT00000254539,OTTHUMT00000418284,OTTHUMT00000418285,OTTHUMT00000418286,Q53FY6,Q6PF09,S27A2_HUMAN,SLC27A2,SLC27A2-001,SLC27A2-002,SLC27A2-003,SLC27A2-004,Solute carrier family 27 member 2,Solute carriers,THCA-CoA ligase,UPI000013D776,UPI00001CE03D,UPI0000408927,VLACS,VLCS,Very long-chain acyl-CoA synthetase,Very long-chain-fatty-acid-CoA ligase,hFACVL1,hsa:11001,solute carrier family 27 member 2,solute carrier family 27, member 2,uc001zxw.3,uc001zxw.4,uc001zxx.3,uc010bes.3
SLC30A6	9606.ENSP00000368648	https://smart.embl.de/smart/DDvec.cgi?smart=501:TRANS(34|51)+Pfam_Cation_efflux(109|295)+	Zinc transporter 6; Zinc-efflux transporter which allocates the cytoplasmic zinc to the trans-Golgi network (TGN) as well as the vesicular compartment; Solute carriers	55676,A5YM45,AAH32525.1,AAH66903.1,ABQ59029.1,ABQ59036.1,AK055663,AK096672,AK127716,AK304225,AL121658,B3KU87,B5MCR8,B7WP49,B7Z901,BAB70980.1,BAG53349.1,BAG54557.1,BAH14137.1,BC032525,BC066903,C9JZR9,CCDS1780,CCDS1780.1,CCDS54341,CCDS54341.1,CCDS54342,CCDS54342.1,CCDS54343,CCDS54343.1,CCDS82434,EAX00456.1,EAX00457.1,EAX00458.1,EAX00460.1,EF560719,EF560726,ENSG00000152683,ENSP00000282587,ENSP00000306826,ENSP00000315765,ENSP00000319683,ENSP00000320519,ENSP00000349563,ENSP00000368648,ENSP00000370336,ENSP00000384041,ENSP00000388013,ENSP00000393946,ENSP00000396634,ENSP00000399005,ENSP00000415790,ENSP00000440678,ENST00000282587,ENST00000305816,ENST00000314092,ENST00000314105,ENST00000322183,ENST00000357055,ENST00000379343,ENST00000380949,ENST00000406369,ENST00000435660,ENST00000440718,ENST00000449777,ENST00000454324,ENST00000457724,ENST00000538303,F8WCU3,F8WD78,F8WEL5,FLJ31101,HGNC:19305,HPA055032,HPA057328,Hs.23248,Hs.643379,MST103,MSTP103,NM_001193513,NM_001193513.1,NM_001193514,NM_001193514.1,NM_001193515,NM_001193515.1,NM_017964,NM_017964.3,NP_001180442,NP_001180442.1,NP_001180443,NP_001180443.1,NP_001180444,NP_001180444.1,NP_060434,NP_060434.2,NX_Q6NXT4,OMIM:611148,OTTHUMG00000128456,OTTHUMP00000158572,OTTHUMP00000201174,OTTHUMP00000201175,OTTHUMP00000201176,OTTHUMP00000201177,OTTHUMP00000201178,OTTHUMP00000201179,OTTHUMT00000250254,OTTHUMT00000325226,OTTHUMT00000325227,OTTHUMT00000325228,OTTHUMT00000325229,OTTHUMT00000325230,OTTHUMT00000325231,Q6NXT4,Q8N5C9,Q96NC3,SLC30A6,SLC30A6-001,SLC30A6-002,SLC30A6-003,SLC30A6-004,SLC30A6-005,SLC30A6-006,SLC30A6-007,SLC30A6-201,SLC30A6-202,Solute carrier family 30 member 6,Solute carriers,UPI0000050F43,UPI0000D47292,UPI0000D61182,UPI00015657C9,UPI000173A479,UPI000173A47A,UPI000173A47B,UPI000173A47C,UPI0001915496,XM_006712047,XM_006712047.1,XM_006712048,XM_006712048.1,XP_006712109,XP_006712109.1,XP_006712110,XP_006712110.1,XP_006712111,XP_006712111.1,ZNT6,ZNT6_HUMAN,Zinc transporter 6,hsa:55676,solute carrier family 30 member 6,solute carrier family 30, member 6,uc002roe.2,uc002roe.3,uc002rof.2,uc010ezr.2,uc010ezs.2,uc010ymw.2
SLC30A7	9606.ENSP00000359130	https://smart.embl.de/smart/DDvec.cgi?smart=376:Pfam_Cation_efflux(38|294)+	Zinc transporter 7; Seems to facilitate zinc transport from the cytoplasm into the Golgi apparatus. Partly regulates cellular zinc homeostasis. Required with ZNT5 for the activation of zinc- requiring enzymes, alkaline phosphatases (ALPs). Transports zinc into the lumens of the Golgi apparatus and the vesicular compartments where ALPs locate, thus, converting apoALPs to holoALPs. Required with ZNT5 and ZNT6 for the activation of TNAP (By similarity); Belongs to the cation diffusion facilitator (CDF) transporter (TC 2.A.4) family. SLC30A subfamily	148867,AAH64692.1,AAL83716.1,AAM21969.1,AAO17324.1,AF233345,AF529197,AK313638,AL732465,AY094606,B2R949,BAG36396.1,BC064692,BX537375,CAD97617.1,CAI13301.1,CCDS776,CCDS776.1,D3DT61,EAW72942.1,EAW72943.1,ENSG00000162695,ENSP00000294731,ENSP00000350278,ENSP00000359129,ENSP00000359130,ENST00000294731,ENST00000357650,ENST00000370111,ENST00000370112,HGNC:19306,HPA018034,Hs.606496,Hs.619680,NM_001144884,NM_001144884.1,NM_133496,NM_133496.4,NP_001138356,NP_001138356.1,NP_598003,NP_598003.2,NX_Q8NEW0,OMIM:611149,OTTHUMG00000011815,OTTHUMP00000013590,OTTHUMP00000013591,OTTHUMP00000013592,OTTHUMT00000032711,OTTHUMT00000032712,OTTHUMT00000032713,Q8NEW0,Q8TCH2,SLC30A7,SLC30A7-001,SLC30A7-002,SLC30A7-003,Solute carrier family 30 member 7,Solute carriers,UPI0000050F45,UPI0002B83382,XM_005270503,XM_005270503.2,XP_005270560,XP_005270560.1,XP_016855889.1,ZNT7,ZNT7_HUMAN,ZNTL2,Zinc transporter 7,ZnT-7,ZnTL2,Znt-like transporter 2,hsa:148867,solute carrier family 30 member 7,solute carrier family 30, member 7,uc001dtn.2,uc001dtn.3,uc001dto.2
SLC30A9	9606.ENSP00000264451	https://smart.embl.de/smart/DDvec.cgi?smart=568:Pfam_Cation_efflux(240|450)+	Zinc transporter 9; Acts as a zinc transporter involved in intracellular zinc homeostasis. Functions as a secondary coactivator for nuclear receptors by cooperating with p160 coactivators subtypes. Plays a role in transcriptional activation of Wnt-responsive genes (By similarity); Solute carriers	10463,2ENK,AAB87763.2,AAH07732.1,AAH16949.1,AAH22981.1,AAP83846.1,AAT02479.1,AAY40966.1,AC106052,AC113151,AF006621,AY319413,AY594282,BC007732,BC016949,BC022981,BILAPES,C4orf1,CCDS3465,CCDS3465.1,D6R9M6,ENSG00000014824,ENSP00000264451,ENSP00000371098,ENSP00000423529,ENSP00000445151,ENST00000264451,ENST00000381682,ENST00000505523,ENST00000509683,ENST00000510460,ENST00000513699,ENST00000536881,GAC63,GRIP1-dependent nuclear receptor coactivator,HGNC:1329,HPA004014,HUEL,Hs.201937,Hs.479634,Human embryonic lung protein,NM_006345,NM_006345.3,NP_006336,NP_006336.3,NX_Q6PML9,OMIM:604604,OTTHUMG00000099387,OTTHUMP00000125233,OTTHUMP00000218401,OTTHUMT00000216842,OTTHUMT00000360967,OTTHUMT00000360969,OTTHUMT00000360970,OTTHUMT00000360971,Q4W5B6,Q6PML9,Q7Z5I7,Q8TBB2,Q9Y6R2,SLC30A9,SLC30A9-001,SLC30A9-002,SLC30A9-004,SLC30A9-005,SLC30A9-006,Solute carrier family 30 member 9,Solute carriers,UPI000013D51C,UPI0001D3B36C,ZNT9,ZNT9_HUMAN,Zinc transporter 9,chromosome 4 open reading frame 1,hsa:10463,solute carrier family 30 member 9,solute carrier family 30, member 9,uc003gwl.3,uc003gwl.4
SLC44A2	9606.ENSP00000336888	https://smart.embl.de/smart/DDvec.cgi?smart=706:TRANS(34|56)+TRANS(231|253)+TRANS(255|277)+Pfam_Choline_transpo(320|676)+	Choline transporter-like protein 2; Isoform 1, but not isoform 3, exhibits some choline transporter activity; Solute carriers	57153,AAH10617.1,AAH40556.1,AC011475,AF070636,AJ245621,AK027519,AK075512,AK126550,AK294118,AK314582,AL832517,AL832978,B2RBB1,B3KNH3,B3KX31,B4DFJ0,BAC11662.1,BAG37158.1,BAG51335.1,BAG54343.1,BAG57451.1,BC010617,BC040556,CAB75542.1,CAH56342.1,CAH56352.1,CBJ93592.1,CCDS12245,CCDS12245.1,CCDS54216,CCDS54216.1,CTL2,CTL2_HUMAN,Choline transporter-like protein 2,EAW84126.1,ENSG00000129353,ENSP00000250243,ENSP00000336888,ENSP00000352338,ENSP00000369988,ENSP00000385135,ENSP00000465547,ENSP00000466575,ENSP00000466612,ENSP00000466664,ENSP00000467552,ENSP00000468070,ENSP00000468691,ENSP00000468812,ENST00000250243,ENST00000335757,ENST00000359378,ENST00000380614,ENST00000407327,ENST00000586078,ENST00000586549,ENST00000588214,ENST00000588393,ENST00000588409,ENST00000588465,ENST00000588688,ENST00000589561,ENST00000590382,ENST00000590475,ENST00000590857,ENST00000591194,ENST00000592293,F2Q9D7,FN668568,HGNC:17292,HPA003228,Hs.534560,Hs.635663,Hs.719341,K7EMR2,K7EPV6,K7ER17,K7ESF5,NM_001145056,NM_001145056.1,NM_020428,NM_020428.3,NP_001138528,NP_001138528.1,NP_065161,NP_065161.3,NX_Q8IWA5,OMIM:606106,OTTHUMG00000180585,OTTHUMP00000264697,OTTHUMP00000264698,OTTHUMP00000264699,OTTHUMP00000264700,OTTHUMP00000264701,OTTHUMP00000264702,OTTHUMP00000264703,OTTHUMP00000264704,OTTHUMP00000264705,OTTHUMP00000264706,OTTHUMT00000452042,OTTHUMT00000452043,OTTHUMT00000452044,OTTHUMT00000452045,OTTHUMT00000452046,OTTHUMT00000452047,OTTHUMT00000452048,OTTHUMT00000452049,OTTHUMT00000452050,OTTHUMT00000452051,OTTHUMT00000452053,OTTHUMT00000452054,OTTHUMT00000452055,OTTHUMT00000452056,OTTHUMT00000452057,PP1292,PSEC0210,Q658V1,Q658Z2,Q6PJV7,Q8IWA5,Q8N2F0,Q9NY68,SLC44A2,SLC44A2-001,SLC44A2-002,SLC44A2-003,SLC44A2-004,SLC44A2-006,SLC44A2-007,SLC44A2-008,SLC44A2-009,SLC44A2-010,SLC44A2-011,SLC44A2-012,SLC44A2-013,SLC44A2-014,SLC44A2-015,SLC44A2-016,Solute carrier family 44 member 2,Solute carriers,UPI000013CCAB,UPI0000203351,UPI00004DE0D6,UPI0002840B81,UPI0002840B82,UPI0002840B83,UPI0002840B84,UPI0002840B85,UPI0002840B86,UPI0002840B87,XM_005259998,XM_005259998.1,XP_005260054,XP_005260054.1,XP_005260055,XP_005260055.1,XP_005260056,XP_005260056.1,hsa:57153,solute carrier family 44 member 2,solute carrier family 44, member 2,uc002mpe.4,uc002mpe.5,uc002mpf.3,uc002mpf.4,uc002mph.3,uc002mpi.3
SLC9A3R1	9606.ENSP00000262613	https://smart.embl.de/smart/DDvec.cgi?smart=358:PDZ(22|94)+PDZ(162|234)+Pfam_EBP50_C(235|358)+	Na(+)/H(+) exchange regulatory cofactor NHE-RF1; Scaffold protein that connects plasma membrane proteins with members of the ezrin/moesin/radixin family and thereby helps to link them to the actin cytoskeleton and to regulate their surface expression. Necessary for recycling of internalized ADRB2. Was first known to play a role in the regulation of the activity and subcellular location of SLC9A3. Necessary for cAMP-mediated phosphorylation and inhibition of SLC9A3. May enhance Wnt signaling. May participate in HTR4 targeting to microvilli (By similarity). Involved in the regulation of  [...] 	1G9O,1GQ4,1GQ5,1I92,1SGH,2D10,2JXO,2KJD,2KRG,2M0T,2M0U,2M0V,2OZF,4JL7,4LMM,4MPA,4N6X,4PQW,4Q3H,9368,AAC04572.1,AAC52084.1,AAH01443.1,AAH03361.1,AAH11777.1,AAH49220.1,AAH53350.1,AF015926,AF036241,AK128474,B3KY21,BAG54683.1,BC001443,BC003361,BC011777,BC049220,BC053350,CAB001962,CCDS11705,CCDS11705.1,EAW89189.1,EBP50,ENSG00000109062,ENSP00000262613,ENSP00000398782,ENSP00000464117,ENSP00000464321,ENSP00000464982,ENST00000262613,ENST00000413388,ENST00000578958,ENST00000581356,ENST00000583369,Ezrin-radixin-moesin-binding phosphoprotein 50,HGNC:11075,HPA009672,HPA027247,J3QRP6,NHERF,NHERF-1,NHERF1,NHRF1_HUMAN,NM_004252,NM_004252.4,NPHLOP2,NP_004243,NP_004243.1,NX_O14745,Na(+)/H(+) exchange regulatory cofactor NHE-RF1,O14745,O43552,OMIM:604990,OTTHUMG00000178863,OTTHUMP00000260209,OTTHUMP00000260210,OTTHUMP00000260211,OTTHUMP00000265268,OTTHUMT00000443670,OTTHUMT00000443671,OTTHUMT00000443672,OTTHUMT00000443673,OTTHUMT00000443674,PDZ domain containing,Q86WQ5,Regulatory cofactor of Na(+)/H(+) exchanger,SLC9A3 regulator 1,SLC9A3R1,SLC9A3R1-001,SLC9A3R1-002,SLC9A3R1-004,SLC9A3R1-005,SLC9A3R1-006,Sodium-hydrogen exchanger regulatory factor 1,UPI0000072521,UPI00004A297B,UPI000268B24E,UPI000268B24F,hsa:9368,solute carrier family 9, isoform 3 regulator 1,solute carrier family 9, member 3 regulator 1,uc002jlo.4,uc002jlo.5
SLU7	9606.ENSP00000297151	https://smart.embl.de/smart/DDvec.cgi?smart=586:ZnF_C2HC(119|135)+Pfam_Slu7(161|434)+COIL(484|544)+	Pre-mRNA-splicing factor SLU7; Participates in the second catalytic step of pre-mRNA splicing, when the free hydroxyl group of exon I attacks the 3'- splice site to generate spliced mRNA and the excised lariat intron. Required for holding exon 1 properly in the spliceosome and for correct AG identification when more than one possible AG exists in 3'-splicing site region. May be involved in the activation of proximal AG. Probably also involved in alternative splicing regulation; Spliceosomal C complex	10569,5XJC,9G8,AAD13774.1,AAH10634.1,AAS59410.1,ABA08382.1,ABA08383.1,AF101074,AY486334,BC010634,CCDS4352,CCDS4352.1,D3DQK2,DQ174516,DQ174517,E5RGM7,E5RK41,EAW61554.1,EAW61555.1,ENSG00000164609,ENSP00000297151,ENSP00000428362,ENSP00000428943,ENSP00000429990,ENST00000297151,ENST00000518268,ENST00000519349,ENST00000520664,ENST00000520841,ENST00000521190,ENST00000521320,ENST00000521826,ENST00000523219,HGNC:16939,HPA035907,Hs.435342,Hs.653742,NM_006425,NM_006425.4,NP_006416,NP_006416.3,NX_O95391,O95391,OMIM:605974,OTTHUMG00000130324,OTTHUMP00000160841,OTTHUMP00000224270,OTTHUMP00000224271,OTTHUMP00000224272,OTTHUMT00000252673,OTTHUMT00000374145,OTTHUMT00000374146,OTTHUMT00000374147,OTTHUMT00000374148,OTTHUMT00000374149,OTTHUMT00000374150,OTTHUMT00000374151,OTTHUMT00000374152,Pre-mRNA-splicing factor SLU7,Q3LUJ0,Q3LUJ1,Q6RXQ5,Q96FM9,SLU7,SLU7 homolog, splicing factor,SLU7 splicing factor homolog,SLU7 splicing factor homolog (S. cerevisiae),SLU7-001,SLU7-002,SLU7-003,SLU7-004,SLU7-005,SLU7-006,SLU7-007,SLU7-008,SLU7-009,SLU7_HUMAN,Spliceosomal C complex,Spliceosomal P complex,UPI000013E3CE,UPI00005B72F6,UPI0001E8F674,UPI0001E8F675,XP_005265850,XP_005265850.1,XP_011532720.1,hSlu7,hsa:10569,uc003lyg.3,uc003lyg.4,uc003lyi.1,zinc knuckle motif containing
SMOC1	9606.ENSP00000355110	https://smart.embl.de/smart/DDvec.cgi?smart=435:SIGNAL(1|26)+KAZAL(42|87)+TY(115|162)+TY(248|296)+Pfam_SPARC_Ca_bdg(313|424)+	SPARC-related modular calcium-binding protein 1; Plays essential roles in both eye and limb development. Probable regulator of osteoblast differentiation; SPARC family	64093,A0A024R6E0,A8K1S3,AAH08608.1,AAH11548.1,AJ249900,AK289988,AK313063,B2R7P5,BAF82677.1,BAG35892.1,BC008608,BC011548,CAC10352.1,CCDS32110,CCDS32110.1,CCDS9798,CCDS9798.1,EAW81013.1,EAW81014.1,EAW81015.1,ENSG00000198732,ENSP00000355110,ENSP00000370680,ENST00000361956,ENST00000381280,ENST00000553839,ENST00000555917,ENST00000557483,HGNC:20318,HPA004153,Hs.497349,Hs.607808,NM_001034852,NM_001034852.2,NM_022137,NM_022137.5,NP_001030024,NP_001030024.1,NP_071420,NP_071420.1,NX_Q9H4F8,OAS,OMIM:608488,OTTHUMG00000171237,OTTHUMP00000245522,OTTHUMP00000245523,OTTHUMT00000412465,OTTHUMT00000412466,OTTHUMT00000412467,OTTHUMT00000412468,OTTHUMT00000412469,Q96F78,Q9H4F8,SMOC1,SMOC1-001,SMOC1-002,SMOC1-003,SMOC1-004,SMOC1-005,SMOC1_HUMAN,SPARC family,SPARC related modular calcium binding 1,SPARC-related modular calcium-binding protein 1,Secreted modular calcium-binding protein 1,UPI000004746F,UPI0000071CCF,XP_005268052,XP_005268052.1,XP_005268053,XP_005268053.1,hsa:64093,uc001xls.2,uc001xls.3,uc001xlt.2
SNIP1	9606.ENSP00000296215	https://smart.embl.de/smart/DDvec.cgi?smart=396:COIL(165|195)+FHA(280|344)+	Smad nuclear-interacting protein 1; Down-regulates NF-kappa-B signaling by competing with RELA for CREBBP/EP300 binding. Involved in the microRNA (miRNA) biogenesis. May be involved in cyclin-D1/CCND1 mRNA stability through the SNARP complex which associates with both the 3'end of the CCND1 gene and its mRNA	79753,AAH27040.1,AAL91140.1,AK022615,AK027622,AK315574,AY081909,B1AK66,BAB14134.1,BAB55241.1,BAG37948.1,BC027040,CCDS419,CCDS419.1,EAX07338.1,ENSG00000163877,ENSP00000296215,ENSP00000362161,ENSP00000387778,ENST00000296215,ENST00000373070,ENST00000436196,ENST00000468040,ENST00000493916,FHA domain-containing protein SNIP1,HGNC:30587,HPA036896,Hs.47232,Hs.613500,Hs.622234,NM_024700,NM_024700.3,NP_078976,NP_078976.2,NX_Q8TAD8,OMIM:608241,OTTHUMG00000004225,OTTHUMP00000004404,OTTHUMT00000012169,OTTHUMT00000012170,OTTHUMT00000012171,PML1,PML1 homolog,PMRED,Q8TAD8,Q96SP9,Q9H9T7,SNIP1,SNIP1-001,SNIP1-002,SNIP1-003,SNIP1_HUMAN,Smad nuclear interacting protein 1,Smad nuclear-interacting protein 1,Spliceosomal P complex,UPI000003603D,hsa:79753,uc001cbi.4,uc001cbi.5
SPG20	9606.ENSP00000414147	https://smart.embl.de/smart/DDvec.cgi?smart=666:MIT(16|94)+Pfam_Senescence(427|611)+	Spartin; May be implicated in endosomal trafficking, or microtubule dynamics, or both. Participates in cytokinesis	23111,2DL1,4U7I,A0A024RDV9,AAH47083.1,AAK71883.1,AAK72374.1,AAM76671.1,AAM76672.1,AB011182,AY038359,AY038934,AY123329,AY123331,AY123332,AY123333,AY123334,AY123335,AY123336,AY123337,BAA25536.1,BC047083,CAC17479.1,CCDS9356.1,EAX08558.1,EAX08559.1,EAX08560.1,EAX08562.1,ENSG00000133104,ENSP00000255469,ENSP00000326104,ENSP00000326182,ENSP00000347314,ENSP00000353307,ENSP00000406061,ENSP00000414147,ENSP00000416434,ENSP00000473599,ENST00000255469,ENST00000316533,ENST00000316546,ENST00000355182,ENST00000360181,ENST00000423217,ENST00000438666,ENST00000451493,ENST00000460126,ENST00000475603,ENST00000476377,ENST00000482146,ENST00000491805,ENST00000494062,ENST00000494703,ENST00000495510,HPA039053,HPA039054,Hs.440414,Hs.595424,Hs.598397,Hs.603172,KIAA0610,NM_001142294,NM_001142294.1,NM_001142295,NM_001142295.1,NM_001142296,NM_001142296.1,NM_015087,NM_015087.4,NP_001135766,NP_001135766.1,NP_001135767,NP_001135767.1,NP_001135768,NP_001135768.1,NP_055902,NP_055902.1,NX_Q8N0X7,O60349,OTTHUMG00000016730,OTTHUMP00000018254,OTTHUMP00000272440,OTTHUMT00000044494,OTTHUMT00000044495,OTTHUMT00000044497,OTTHUMT00000044498,OTTHUMT00000044499,OTTHUMT00000044500,OTTHUMT00000044501,OTTHUMT00000044502,OTTHUMT00000044503,Q86Y67,Q8N0X7,Q9H1T2,Q9H1T3,SPART,SPARTIN,SPART_HUMAN,SPG20,SPG20-002,SPG20-003,SPG20-005,SPG20-006,SPG20-007,SPG20-008,SPG20-009,SPG20-010,SPG20-011,SPG20-201,SPG20-202,Spartin,Spastic paraplegia 20 (Troyer syndrome),Spastic paraplegia 20 protein,TAHCCP1,UPI000006F5EE,XM_005266313,XM_005266313.2,XM_005266314,XM_005266314.1,XM_005266315,XM_005266315.1,XM_005266316,XM_005266316.1,XM_005266317,XM_005266317.1,XP_005266370,XP_005266370.1,XP_005266371,XP_005266371.1,XP_005266372,XP_005266372.1,XP_005266373,XP_005266373.1,XP_005266374,XP_005266374.1,XP_011533314.1,hsa:23111,spartin,spastic paraplegia 20 (Troyer syndrome),uc001uvm.3,uc001uvm.4,uc001uvn.3,uc001uvo.3,uc001uvq.3
SRP19	9606.ENSP00000424870	https://smart.embl.de/smart/DDvec.cgi?smart=144:Pfam_SRP19(17|115)+	Signal recognition particle 19 kDa protein; Signal-recognition-particle assembly, binds directly to 7S RNA and mediates binding of the 54 kDa subunit of the SRP	1JID,1MFQ,1RY1,2J37,3KTV,4P3E,5M73,6728,AAH10947.1,AAH17830.1,AK311803,B2R4E9,BAG34746.1,BC010947,BC017830,BU661702,CAA31280.1,CCDS4108,CCDS4108.1,CCDS56375,CCDS56375.1,CCDS56376,CCDS56376.1,CCDS75286,CCDS75286.1,D6RCQ5,EAW48999.1,EAW49000.1,ENSG00000153037,ENSP00000282999,ENSP00000368969,ENSP00000407988,ENSP00000423431,ENSP00000424153,ENSP00000424870,ENSP00000425015,ENSP00000425562,ENSP00000480521,ENSP00000482018,ENST00000282999,ENST00000379648,ENST00000445150,ENST00000503445,ENST00000504696,ENST00000505459,ENST00000506987,ENST00000506997,ENST00000512790,ENST00000515463,ENST00000515755,ENST00000621420,HGNC:11300,HPA029272,NM_001204193,NM_001204193.1,NM_001204194,NM_001204194.1,NM_001204196,NM_001204196.1,NM_003135,NM_003135.2,NP_001191122,NP_001191122.1,NP_001191123,NP_001191123.1,NP_001191125,NP_001191125.1,NP_001191128,NP_001191128.1,NP_003126,NP_003126.1,NX_P09132,OMIM:182175,OTTHUMG00000186064,OTTHUMP00000159018,OTTHUMP00000223355,OTTHUMP00000223357,OTTHUMP00000275525,OTTHUMT00000250737,OTTHUMT00000370786,OTTHUMT00000370788,OTTHUMT00000370789,OTTHUMT00000370791,OTTHUMT00000372142,OTTHUMT00000372144,P09132,Q05D77,Q96FG6,SRP19,SRP19-001,SRP19-002,SRP19-003,SRP19-004,SRP19-005,SRP19-008,SRP19-010,SRP19-201,SRP19_HUMAN,Signal recognition particle 19 kDa protein,Signal recognition particle 19kDa,UPI000013DD11,UPI0000D49717,UPI0000EE5220,UPI0001D3B658,UPI0001F995C4,X12791,hsa:6728,signal recognition particle 19,signal recognition particle 19kDa,uc003kqb.2,uc003kqb.3,uc003kqc.3,uc003kqc.4,uc011cvu.2,uc021yck.1,uc021ycl.1
